name,hex,link
Bleu Layette,#8f9cc1,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Majorelle,#6050dc,https://fr.wikipedia.org/wiki/Bleu_Majorelle
Bleu Marine,#000080,https://fr.wikipedia.org/wiki/Bleu_marine
Bleu Maya,#73c2fb,https://fr.wikipedia.org/wiki/Bleu_maya
Bleu Minuit,#003366,https://fr.wikipedia.org/wiki/Bleu_nuit
Bleu Minéral,#25455d,https://fr.wikipedia.org/wiki/Bleu_min%C3%A9ral
Bleu Myosotis,#bddded,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Myrtille,#213063,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Méditerranée,#7b8eab,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Nattier,#4f93a7,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Navajo,#06e3e6,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Nuit,#0f056b,https://fr.wikipedia.org/wiki/Bleu_nuit
Bleu Océan,#396987,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Orage,#999fb7,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Outremer,#1b019b,https://fr.wikipedia.org/wiki/Bleu_outremer
Bleu Paon,#067790,https://fr.wikipedia.org/wiki/Bleu_paon
Bleu Pastel,#57749b,https://fr.wikipedia.org/wiki/Pastel_des_teinturiers
Bleu Persan,#458e9d,https://fr.wikipedia.org/wiki/Bleu_persan
Bleu Piscine,#14aad0,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Polaire Foncé,#1c5066,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Porcelaine Clair,#c7d1db,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Pétrole,#1d4851,https://fr.wikipedia.org/wiki/Bleu_p%C3%A9trole_(couleur)
Bleu Pétrole Foncé,#384c5e,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Roi,#002366,https://fr.wikipedia.org/wiki/Bleu_roi
Bleu Roy,#328de8,https://fr.wiktionary.org/w/index.php?title=bleu_roy&action=edit&redlink=1
Bleu Saphir,#0131b4,https://fr.wikipedia.org/wiki/Bleu_saphir
Bleu Sarcelle,#008e8e,https://fr.wikipedia.org/wiki/Bleu_canard
Bleu Sureau,#1b2853,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Tendre,#94a8c6,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Tiffany,#0abab5,https://fr.wikipedia.org/wiki/Bleu_Tiffany
Bleu Touareg,#6b9ebf,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu Turquin,#425b8a,https://fr.wikipedia.org/wiki/Bleu_turquin
Bleu Turquoise,#25fde9,https://fr.wikipedia.org/wiki/Turquoise_(couleur)
Bleu Vert,#99cfd9,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu d'Anvers,#26465e,https://fr.wiktionary.org/wiki/bleu_d%E2%80%99Anvers
Bleu d'Azur,#b8d2e6,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu de Berlin,#27475f,https://fr.wiktionary.org/w/index.php?title=bleu_de_Berlin&action=edit&redlink=1
Bleu de Chine,#555b7b,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu de Cobalt,#23437d,https://fr.wiktionary.org/wiki/bleu_de_cobalt
Bleu de Cæruleum,#007ba7,https://fr.wikipedia.org/wiki/C%C3%A6ruleum
Bleu de Delft,#5a8fb8,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu de France,#338ee9,https://fr.wikipedia.org/wiki/Bleu_de_France_(couleur)
Bleu de Minuit,#033660,https://fr.wiktionary.org/w/index.php?title=bleu_de_minuit&action=edit&redlink=1
Bleu de Perse,#488e9a,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu de Prusse,#284860,https://fr.wikipedia.org/wiki/Bleu_de_Prusse
Bleu de Sèvres,#11416d,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bleu des Mers du Sud,#00cccb,https://fr.wikipedia.org/wiki/Turquoise_(couleur)
Bleuet,#5775b1,https://fr.wikipedia.org/wiki/Bleu_bleuet
Blond,#e2bd74,https://fr.wikipedia.org/wiki/Cheveux_blonds
Blond Vénitien,#e7a854,https://fr.wikipedia.org/wiki/Blond_v%C3%A9nitien
Blush Rose,#f18787,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Blé,#e8d630,https://fr.wikipedia.org/wiki/Bl%C3%A9_(couleur)
Bois Foncé,#594937,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bois de Rose,#cc847c,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bois de Rose Foncé,#bc6c64,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bois de Violette,#785762,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bordeaux,#800000,https://fr.wikipedia.org/wiki/Bordeaux_(couleur)
Bougainvillée,#9b1359,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bouleau,#e7d6c1,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bourgeon Vert,#d8e498,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bourgogne,#6b0d0d,https://fr.wiktionary.org/wiki/bourgogne
Bouton d'or,#f6dc12,https://fr.wikipedia.org/wiki/Bouton_d%27or_(couleur)
Bouton de Rose,#ffc0cd,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brique,#842e1b,https://fr.wikipedia.org/wiki/Brique_(couleur)
Bronze,#614e1a,https://fr.wikipedia.org/wiki/Bronze_(couleur)
Brou de Noix,#3f2204,https://fr.wikipedia.org/wiki/Brou_de_noix
Brume de Mer Bleue,#e5fcfd,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brume de Rose,#d7cbd3,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun,#5c3d12,https://influenz.design/mag/brun
Brun Castor,#796047,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun Cigare,#985e33,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun Palissandre,#82340a,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun Racine,#675541,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun Rosé,#964a3f,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun Rouge,#984436,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Brun Tomette,#a64510,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bruyère,#b7737f,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Bureau,#6b5731,https://fr.wikipedia.org/wiki/Beige#Synonymes
Caca d'Oie,#cdcd0d,https://fr.wikipedia.org/wiki/Caca_d%27oie
Cacao,#614b3a,https://fr.wikipedia.org/wiki/Cacao_(couleur)
Cachou,#2f1b0c,https://fr.wikipedia.org/wiki/Cachou_(couleur)
Café,#462e01,https://fr.wikipedia.org/wiki/Caf%C3%A9_(couleur)
Café au Lait,#785e2f,https://fr.wikipedia.org/wiki/Caf%C3%A9_(couleur)#Histoire
Camel,#e4bb8e,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Camomille,#f6dc98,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Campanule Bleue,#60678c,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Cannelle,#7e5835,https://fr.wikipedia.org/wiki/Cannelle_(couleur)
Capucine,#ff5e4d,https://fr.wikipedia.org/wiki/Capucine_(couleur)
Caramel,#7e3300,https://fr.wikipedia.org/wiki/Caramel_(couleur)
Carmin,#960018,https://fr.wikipedia.org/wiki/Carmin
Carmélite,#411f20,https://fr.wiktionary.org/wiki/carm%C3%A9lite
Carnation,#fec3ac,https://fr.wiktionary.org/wiki/carnation
Carné,#ffc4ad,https://fr.wiktionary.org/wiki/carn%C3%A9
Carotte,#f4661b,https://fr.wikipedia.org/wiki/Carotte_(couleur)
Cascade Bleue,#bce3e6,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Cassis,#2c030b,https://fr.wikipedia.org/wiki/Cassis_(fruit)
Cendre Bleue,#7880a4,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Cendre Verte,#abb197,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Cendre de Rose,#b79da7,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Cerise,#bb0b0b,https://fr.wiktionary.org/wiki/cerise
Chair,#fec5ae,https://fr.wikipedia.org/wiki/Incarnat
Chamois,#d0c07a,https://fr.wikipedia.org/wiki/Chamois_(couleur)
Champagne,#fbf2b7,https://fr.wiktionary.org/wiki/champagne
Chanvre,#ddd8cb,https://www.deleze.name/marcel/photo/noms-couleurs/454-couleurs.php
Charbon,#010101,https://fr.wikipedia.org/wiki/Charbon
Charbonneux,#000010,https://fr.wiktionary.org/wiki/charbonneux
